,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Period_cited_in_text,Level_context,Materials_notes,Class,Text2
96,,9,04,"4, 5, 7 ",-10.9,,Doorsill,,"A large house (II and IV) to the west of House I was apparently entered from the south by a doorway 4 ft. wide.^  (^ 10-9 ft. below datum, The sills of the inner doors are at about the same level and average nearly 4 ft. wide.)  ",Floor Features,Late III,"Relational Remark (""about the same"")",inner doorsills,,"A large house (II and IV)<br>to the west of House I<br>was apparently entered from the south<br>by a doorway 4 ft. wide.^<br> (^ 10-9 ft. below datum,<br>The sills of the inner doors<br>are at about the same level<br>and average nearly 4 ft. wide.)<br> "
97,,9,04,"4, 5, 7 ",-10.9,,Entrance,,"A large house (II and IV) to the west of House I was apparently entered from the south by a doorway 4 ft. wide.^  (^ 10-9 ft. below datum, The sills of the inner doors are at about the same level and average nearly 4 ft. wide.)  ",Floor Features,Late III,Exact Measure,,,"A large house (II and IV)<br>to the west of House I<br>was apparently entered from the south<br>by a doorway 4 ft. wide.^<br> (^ 10-9 ft. below datum,<br>The sills of the inner doors<br>are at about the same level<br>and average nearly 4 ft. wide.)<br> "
98,,9,05,68,-14.0,,Pavement,,"The pavements in the south- eastern corners of the two rooms to the north were in a good state of preserva- tion, especially the one in room 68, 76. Both were 14 ft. below datum, and they were drained through little rectangular apertures in their eastern walls into a small drain in the alley outside. ",Floor Features,Intermediate I,General Measure,,Water Platforms,"The pavements in the south- eastern<br>corners of the two rooms to<br>the north were in a good<br>state of preserva- tion, especially the<br>one in room 68, 76. Both<br>were 14 ft. below datum, and<br>they were drained through little rectangular<br>apertures in their eastern walls into<br>a small drain in the alley<br>outside. "
99,,9,05,76,-14.0,,Pavement,,"The pavements in the south- eastern corners of the two rooms to the north were in a good state of preserva- tion, especially the one in room 68, 76. Both were 14 ft. below datum, and they were drained through little rectangular apertures in their eastern walls into a small drain in the alley outside. ",Floor Features,Intermediate I,General Measure,,Water Platforms,"The pavements in the south- eastern<br>corners of the two rooms to<br>the north were in a good<br>state of preserva- tion, especially the<br>one in room 68, 76. Both<br>were 14 ft. below datum, and<br>they were drained through little rectangular<br>apertures in their eastern walls into<br>a small drain in the alley<br>outside. "
100,,9,05,66,,,Stair Tread,,"A little staircase (66) against the eastern wall of room 68, 76 was 2 ft. 2 ins. wide with steep treads, 8 ins. broad and 11-5 ins. high.",Floor Features,Intermediate I,,,,"A little staircase (66) against the<br>eastern wall of room 68, 76<br>was 2 ft. 2 ins. wide<br>with steep treads, 8 ins. broad<br>and 11-5 ins. high."
101,,9,05,"38, 39, 40",-15.4,,Doorsill,,"Only one room (38, 39, 40) definitely belonging to House V had survived. It was entered by a doorway, 3 ft. 4 ins. wide, in its western wall,* wfiiose sill was raised in the Intermediate I Phase to bring the doorw^ay into use again.
3 The sill was at 15-4 ft. below datum.",Floor Features,Intermediate II,Exact Measure,,,"Only one room (38, 39, 40)<br>definitely belonging to House V had<br>survived. It was entered by a<br>doorway, 3 ft. 4 ins. wide,<br>in its western wall,* wfiiose sill<br>was raised in the Intermediate I<br>Phase to bring the doorw^ay into<br>use again.
3 The sill was at<br>15-4 ft. below datum."
102,,9,05,,-18.3,,Foundation,,"The bricks of the wall between Buildings V and VII were laid in a curious
and quite ornamental pattern (PL XXXIX, b) -- a method of brick-laying which is more frequently seen in the upper than in the lower levels. (^ The foundation level of this wall was 18-3 ft. below datum. The ledge along its top is 3 ft. 6 ins. higher.)",Floor Features,Intermediate II,General Measure,with ledge 3 ft 6 in higher,,"The bricks of the wall between<br>Buildings V and VII were laid<br>in a curious
and quite ornamental pattern<br>(PL XXXIX, b) -- a method<br>of brick-laying which is more frequently<br>seen in the upper than in<br>the lower levels. (^ The foundation<br>level of this wall was 18-3<br>ft. below datum. The ledge along<br>its top is 3 ft. 6<br>ins. higher.)"
103,,9,06,49,-14.0,,Pavement,,"Again, an ablution pavement, some 5 ft. 2 ins. by 4 ft. 6 ins. in size, made of carefully cut bricks, occupied the southern end of passage 49.’ (At the level — 14 ft.)  This pave- ment (PI. XXXIX, a) sloped appreciably towards its S.-E. corner, and the wall to the south of it still stood some 3 ft. high, whereas the other walls around had been partially demohshed.",Floor Features,Intermediate I,Exact Measure,"an ablution pavement, some 5 ft. 2 ins. by 4 ft. 6 ins. in size, made of carefully cut bricks",Water Platforms,"Again, an ablution pavement, some 5<br>ft. 2 ins. by 4 ft.<br>6 ins. in size, made of<br>carefully cut bricks, occupied the southern<br>end of passage 49.’ (At the<br>level — 14 ft.)  This<br>pave- ment (PI. XXXIX, a) sloped<br>appreciably towards its S.-E. corner, and<br>the wall to the south of<br>it still stood some 3 ft.<br>high, whereas the other walls around<br>had been partially demohshed."
104,,9,06,,-16.6,,Doorsill,,"The curious skew-shaped building VI was probaably another dwelling-house. It was entered by a doorway, 4 ft. 2 ins. wide, in the middle of its eastern side.^ (1 The sill of this door was 16-6 ft. below datum.) ",Floor Features,Intermediate II,Exact Measure,,,"The curious skew-shaped building VI was<br>probaably another dwelling-house. It was entered<br>by a doorway, 4 ft. 2<br>ins. wide, in the middle of<br>its eastern side.^ (1 The sill<br>of this door was 16-6 ft.<br>below datum.) "
105,,9,06,49,-15.9,,Pavement,,A considerable extent of this paving was fairly well preserved at the average level — 15-9 ft. In places deep cavities had been worn in it by the setting down of numberless water-jars. ,Floor Features,Intermediate II,Average,,Water Platforms,A considerable extent of this paving<br>was fairly well preserved at the<br>average level — 15-9 ft. In<br>places deep cavities had been worn<br>in it by the setting down<br>of numberless water-jars. 
106,,9,06,,-15.7,,Pavement,,"Another pavement at the southern end of the passage between Houses VI and VIII was
also accessible from the well-room.- ^ At the level 15 -7 ft. below datum.",Floor Features,Intermediate II,Exact Measure,,Water Platforms,"Another pavement at the southern end<br>of the passage between Houses VI<br>and VIII was
also accessible from the<br>well-room.- ^ At the level 15<br>-7 ft. below datum."
107,,9,06,49,-15.8,,Platform,,"An ablution platform between the well and chamber 33, at the level — 15 -8 ft., was constructed of three courses of brick,of which the uppermost layer was rubbed down quite smooth. ",Floor Features,Intermediate II,Exact Measure,,,"An ablution platform between the well<br>and chamber 33, at the level<br>— 15 -8 ft., was constructed<br>of three courses of brick,of which<br>the uppermost layer was rubbed down<br>quite smooth. "
108,,9,06,,-4.3,,Doorsill,,"The door-sills of this house show a remarkable
umformity in level, averaging 4-3 ft. below datum, and they date it to the Late Ib Phase.",Floor Features,Late Ib,Average,,,"The door-sills of this house show<br>a remarkable
umformity in level, averaging 4-3<br>ft. below datum, and they date<br>it to the Late Ib Phase."
109,,9,06,"31, 37",-6.5,,Foundation,,"Rooms 31 and 37 were also originally a single room which in the Late Ib Phase was partially subdivided by a thin wall now standing 1 ft. 3 ins. high.-  ( Its foundation level is 6-5 ft, below datum.)",Floor Features,Late Ib,Exact Measure,,,"Rooms 31 and 37 were also<br>originally a single room which in<br>the Late Ib Phase was partially<br>subdivided by a thin wall now<br>standing 1 ft. 3 ins. high.-<br> ( Its foundation level is<br>6-5 ft, below datum.)"
110,,9,06,,-3.7,,Doorsill,,"House VI, whose southern wall was the only one based on earlier masonry, was entered from the east through a doorway. 3 ft. 8 ins. wide, whose sill was 3‘7ft. below datum. This door was at first 4ft .6ins. wide, but was subsequently narrowed in the Late Ib Phase by building additional masonry up against its southern jamb. ",Floor Features,Late Ib ,Exact Measure,,,"House VI, whose southern wall was<br>the only one based on earlier<br>masonry, was entered from the east<br>through a doorway. 3 ft. 8<br>ins. wide, whose sill was 3‘7ft.<br>below datum. This door was at<br>first 4ft .6ins. wide, but was<br>subsequently narrowed in the Late Ib<br>Phase by building additional masonry up<br>against its southern jamb. "
111,,9,06,"32, 33, 34, 35",-4.3,,Doorsill,,"Rooms 32, 33, 34 and 35 appear to have been originally one large apartment, which was subdivided by thin partition walls in the Late Ib Phase for their door-sills average 4-3 ft. below datum.",Floor Features,Late Ib ,Average,,,"Rooms 32, 33, 34 and 35<br>appear to have been originally one<br>large apartment, which was subdivided by<br>thin partition walls in the Late<br>Ib Phase for their door-sills average<br>4-3 ft. below datum."
112,,9,07,,-4.8,,Pavement,,"The ground-plan of House VII which was chiefly of Late II date was re- markably clear with most of the doorways well preserved. But the broken pavement at the level — 4-8 ft. at the northern end of the corridor-like room 18, w Inch measured 34 ft. by 8 ft., was of later date.",Floor Features,"[? ""Later""]",Exact Measure,broken pavement,Water Platforms,"The ground-plan of House VII which<br>was chiefly of Late II date<br>was re- markably clear with most<br>of the doorways well preserved. But<br>the broken pavement at the level<br>— 4-8 ft. at the northern<br>end of the corridor-like room 18,<br>w Inch measured 34 ft. by<br>8 ft., was of later date."
